COMMAND     PID            USER   FD   TYPE DEVICE SIZE/OFF NODE NAME
systemd-r   465 systemd-resolve   13u  IPv4  19319      0t0  TCP 127.0.0.53:53 (LISTEN)
jupyterhu   520            root    6u  IPv4  26699      0t0  TCP 127.0.0.1:8081 (LISTEN)
nginx       606            root    6u  IPv4  24854      0t0  TCP *:80 (LISTEN)
nginx       606            root    7u  IPv6  24855      0t0  TCP *:80 (LISTEN)
nginx       607        www-data    6u  IPv4  24854      0t0  TCP *:80 (LISTEN)
nginx       607        www-data    7u  IPv6  24855      0t0  TCP *:80 (LISTEN)
nginx       608        www-data    6u  IPv4  24854      0t0  TCP *:80 (LISTEN)
nginx       608        www-data    7u  IPv6  24855      0t0  TCP *:80 (LISTEN)
nginx       609        www-data    6u  IPv4  24854      0t0  TCP *:80 (LISTEN)
nginx       609        www-data    7u  IPv6  24855      0t0  TCP *:80 (LISTEN)
nginx       611        www-data    6u  IPv4  24854      0t0  TCP *:80 (LISTEN)
nginx       611        www-data    7u  IPv6  24855      0t0  TCP *:80 (LISTEN)
sshd        714            root    3u  IPv4  25036      0t0  TCP *:22 (LISTEN)
sshd        714            root    4u  IPv6  25038      0t0  TCP *:22 (LISTEN)
node        867            root   18u  IPv6  25286      0t0  TCP *:8000 (LISTEN)
node        867            root   19u  IPv4  25287      0t0  TCP 127.0.0.1:8001 (LISTEN)
jupyterhu  1069           cesar    7u  IPv4  28223      0t0  TCP 127.0.0.1:36805 (LISTEN)
jupyterhu  1143          ubuntu    7u  IPv4  28524      0t0  TCP 127.0.0.1:53317 (LISTEN)
jupyterhu 12403          jaston    7u  IPv4 130499      0t0  TCP 127.0.0.1:48591 (LISTEN)
python3   12440          jaston   11u  IPv4 131211      0t0  TCP 127.0.0.1:58797 (LISTEN)
python3   12440          jaston   13u  IPv4 131213      0t0  TCP 127.0.0.1:46139 (LISTEN)
python3   12440          jaston   15u  IPv4 131215      0t0  TCP 127.0.0.1:53681 (LISTEN)
python3   12440          jaston   24u  IPv4 131219      0t0  TCP 127.0.0.1:39467 (LISTEN)
python3   12440          jaston   29u  IPv4 131223      0t0  TCP 127.0.0.1:40747 (LISTEN)
python3   12440          jaston   37u  IPv4 129907      0t0  TCP 127.0.0.1:43433 (LISTEN)
jupyterhu 13229            test    7u  IPv4 144408      0t0  TCP 127.0.0.1:48175 (LISTEN)
python3   13266            test   11u  IPv4 143668      0t0  TCP 127.0.0.1:52457 (LISTEN)
python3   13266            test   13u  IPv4 143670      0t0  TCP 127.0.0.1:57603 (LISTEN)
python3   13266            test   15u  IPv4 143672      0t0  TCP 127.0.0.1:37051 (LISTEN)
python3   13266            test   24u  IPv4 143676      0t0  TCP 127.0.0.1:54449 (LISTEN)
python3   13266            test   29u  IPv4 143680      0t0  TCP 127.0.0.1:41333 (LISTEN)
python3   13266            test   37u  IPv4 143069      0t0  TCP 127.0.0.1:34991 (LISTEN)
python3   40881           cesar   11u  IPv4 419568      0t0  TCP 127.0.0.1:52507 (LISTEN)
python3   40881           cesar   13u  IPv4 419570      0t0  TCP 127.0.0.1:32975 (LISTEN)
python3   40881           cesar   15u  IPv4 419572      0t0  TCP 127.0.0.1:37529 (LISTEN)
python3   40881           cesar   24u  IPv4 419576      0t0  TCP 127.0.0.1:35403 (LISTEN)
python3   40881           cesar   29u  IPv4 419580      0t0  TCP 127.0.0.1:36085 (LISTEN)
python3   40881           cesar   37u  IPv4 418590      0t0  TCP 127.0.0.1:42117 (LISTEN)
chromedri 41130           cesar   13u  IPv6 421698      0t0  TCP [::1]:54425 (LISTEN)
chromedri 41130           cesar   14u  IPv4 421699      0t0  TCP 127.0.0.1:54425 (LISTEN)
python3   41337          ubuntu   11u  IPv4 428204      0t0  TCP 127.0.0.1:33795 (LISTEN)
python3   41337          ubuntu   13u  IPv4 428206      0t0  TCP 127.0.0.1:54113 (LISTEN)
python3   41337          ubuntu   15u  IPv4 428208      0t0  TCP 127.0.0.1:48013 (LISTEN)
python3   41337          ubuntu   24u  IPv4 428212      0t0  TCP 127.0.0.1:53045 (LISTEN)
python3   41337          ubuntu   29u  IPv4 428216      0t0  TCP 127.0.0.1:46639 (LISTEN)
python3   41337          ubuntu   38u  IPv4 426732      0t0  TCP 127.0.0.1:59605 (LISTEN)
